blockNumber,timestamp,size,difficulty,transactionCount,internalTxCntSimple,internalTxCntAdvanced,erc20TxCnt,erc721TxCnt,minerAddress,minerExtra,gasLimit,gasUsed,minGasPrice,maxGasPrice,avgGasPrice,txFee
11000102,1601959428,37872,3.323974e+15,173,48,514,175,4,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12475564,12455596,38100002694,250000000000,53584522164.52601,625797394539545621
11000103,1601959436,32369,3.325598e+15,162,47,460,136,2,0x99c85bb64564d9ef9a99621301f22c9993cb89e3,0x626565706f6f6c2e6f72675f33,12487746,12482912,38000001459,151000000000,57674167320.17284,672597868744186956
11000104,1601959463,34633,3.32235e+15,165,47,790,162,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12499940,12498877,41000000000,1357000000000,88867385892.57576,855368988658822040
11000105,1601959481,43618,3.320728e+15,250,33,211,98,6,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,0x6e616e6f706f6f6c2e6f7267,12512145,12498084,30100000000,68200000000,34266400192.448,471548113413621349
11000106,1601959483,45043,3.322349e+15,170,51,409,309,1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12518235,12510259,38000001459,350000000000,63799605914.03529,668654022002566544
11000107,1601959497,30705,3.322349e+15,126,38,638,177,3,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12524337,12505890,38000000000,250000000000,43734921698.43651,494040251122240270
11000108,1601959500,65245,3.323971e+15,105,10,150,69,4,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,0x6e616e6f706f6f6c2e6f7267,12536562,12535991,30000000000,94000000000,45541465841.46667,523659725201244943
11000109,1601959511,34285,3.323971e+15,157,42,658,156,2,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x737069646572303804014259,12524321,12510473,38000000000,500000000000,54462842430.108284,610993271212447625
11000110,1601959512,33815,3.325594e+15,175,20,220,73,1,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d6e6f727468312d332d67657468,12512092,12496931,1000000000,308000000000,26667771669.92,1119494514825706058
11000111,1601959520,36808,3.327218e+15,121,28,451,100,2,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc0309,12499875,12484998,37000001459,300000000000,48014578948.82645,574857398470371122
11000112,1601959522,42461,3.328843e+15,224,43,461,169,2,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc0105,12487670,12468111,38000001459,1857154921737,80473793248.95535,843872135004628404
11000113,1601959541,36381,3.327217e+15,168,90,350,132,5,0x06b8c5883ec71bc3f4b332081519f23834c8706e,0x4d696e696e672045787072657373204d,12475477,12471939,38000000000,190000000000,49901488482.02976,624026557173032586
11000114,1601959553,33262,3.327217e+15,149,34,638,118,7,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a682d74303032,12487659,12462166,37000000000,150000000000,41795302475.255035,518872817402008544
11000115,1601959561,44040,3.328842e+15,176,46,429,164,2,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc0503,12475466,12444109,37000000000,150000000000,45669551992.125,566704309754153345
11000116,1601959567,37960,3.330467e+15,183,50,655,160,1,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d77657374312d312d67657468,12487648,12468766,1000000000,170000000000,42436919790.327866,573806250882638755
